Title,Description,URL,Annotation
How does the Electoral College work?,Kamala Harris or Donald Trump will need to secure at least 270 votes in the Electoral College to win the 2024 presidential election.,https://www.cbsnews.com/news/how-electoral-college-works/,General Facts about presidential elections
The Electoral College isn't worth saving — even if it blocks a Trump win,Polls suggest Donald Trump could win the popular vote but lose the Electoral College to Kamala Harris. That doesn't make the electoral map any more democratic.,https://www.msnbc.com/opinion/msnbc-opinion/trump-harris-polls-swing-states-electoral-college-rcna177278,General Facts about presidential elections
Concerns over 2024 election betting,"New data shows more than $100 million has been legally wagered on the Kamala Harris and Donald Trump presidential race. Koleman Strumpf, the Burchfield Presidential Chair of Political Economy at Wake Forrest University, joins CBS News with more.",https://www.cbsnews.com/video/concerns-over-2024-election-betting/,General Facts about presidential elections
How the gender gap could impact the presidential race,The gender gap could define the presidential election with close races in seven battleground states. One organization of Republican women shows how they're making an impact for Vice President Kamala Harris.,https://www.cbsnews.com/news/republican-2024-presidential-race-harris-trump/,General Facts about presidential elections
Examining the impact of the Latino vote in the 2024 election,"With 62% of Latino voters backing Kamala Harris, the latest CBS News poll shows strong support among this group. But recent comments from Trump could shift the numbers. Lilia Luciano reports from the battleground state of Pennsylvania.",https://www.cbsnews.com/video/examining-the-latino-vote-impact-in-2024-election/,General Facts about presidential elections
"Key takeaways from latest Trump, Harris race CBS News poll",A gender gap and a tight race in battleground states appear to be some of the latest takeaways from the most recent CBS News poll on former President Donald Trump's race against Vice President Kamala Harris. CBS News executive director of elections and survey…,https://www.cbsnews.com/video/key-takeaways-from-latest-trump-harris-race-cbs-news-poll/,General Facts about presidential elections
Judge dismisses Pennsylvania GOP lawmakers' lawsuit about voting abroad,"A federal judge has dismissed a lawsuit filed by a group of House Republican lawmakers from Pennsylvania seeking stricter ID requirements for Americans voting from locations overseas. Meanwhile, officers who defended the Capitol during the January 6, 2021, at…",https://www.cbsnews.com/video/judge-dismisses-pennsylvania-gop-lawmakers-lawsuit-about-voting-abroad/,General Facts about presidential elections
How rural voters in Georgia see the November election,"Rural voters have increasingly favored the Republican party since 2000, and in this election, former President Donald Trump and Vice President Kamala Harris value the rural vote, but for different reasons. Major Garrett paid a visit to a rural part of Georgia…",https://www.cbsnews.com/video/how-rural-voters-in-georgia-see-the-november-election/,General Facts about presidential elections
Harris saw less support from women voters than her predecessors,"For the second time in the past decade, a woman at the top of the Democratic presidential ticket failed to secure the White House. While Vice President Kamala Harris secured the majority of female voters, she had less support among women than the past three D…",https://www.cbsnews.com/video/harris-saw-less-support-women-voters-predecessors/,General Facts about presidential elections
Democratic strategist on the party's economic message,"A CBS News exit poll found that 45% of voters felt that their financial situation was worse than it was four years ago. Hyma Moore, the former director for the office of Democratic National Committee Chair Jaime Harrison, discusses the Democratic Party's econ…",https://www.cbsnews.com/video/democratic-strategist-partys-economic-message/,General Facts about presidential elections
How the 2024 election compares to 2016,"Comparisons are being made between Hillary Clinton's 2016 loss and Vice President Kamala Harris' 2024 defeat. Evan McMorris-Santoro, political reporter for NOTUS, and Sabrina Rodriguez, national political reporter for The Washington Post, join ""America Decide…",https://www.cbsnews.com/video/how-2024-election-compares-to-2016/,General Facts about presidential elections
