kamala_articles_open_coding
Title,Description,URL,Open coding round 1,Open coding round 2,Open coding round 3
How Kamala Harris' style has changed throughout her career,"Kamala Harris has been rocking her signature style for decades. It usually includes pantsuits, Converse sneakers, and pearl jewelry.",https://www.businessinsider.com/kamala-harris-style-evolution-throughout-career-2024-10,Style,,
Final polls show Harris and Trump headed for a photo finish,Final polling shows Kamala Harris and Donald Trump virtually tied a day before the election.,https://www.businessinsider.com/kamala-harris-donald-trump-swing-state-polls-photo-finish-2024-11,2024 election prediction - close,,
Mark Cuban will campaign for Kamala Harris in 3 key swing states,Billionaire Mark Cuban will appear on Kamala Harris' behalf in three swing states by the end of the week.,https://www.businessinsider.com/kamala-harris-mark-cuban-campaign-swing-states-sec-chair-2024-10,Endorsement - K,,
"Harris concedes election, saying she promised Trump a peaceful transfer of power",Vice President Kamala Harris publicly conceded the 2024 election to former President Donald Trump in a Wednesday afternoon speech.,https://www.businessinsider.com/kamala-harris-addresses-nation-following-donald-trump-big-win-election-2024-11,2024 election results,,
Harris' chances are still alive after she won a key vote in Nebraska,"Kamala Harris can still win the White House by sweeping the so-called ""blue wall"" states though she's trailing in some right now.",https://www.businessinsider.com/harris-nebraska-2nd-omaha-results-importance-electoral-college-2024-10,2024 election live updates - K,,
Company executives are speaking out on Election Day: Starbucks' Howard Schultz calls for a peaceful transition of power,"Business leaders including Howard Schultz, Elon Musk, and Reid Hoffman weigh in on Election Day for Donald Trump, Kamala Harris — or simply peace.",https://www.businessinsider.com/election-day-executives-speak-trump-harris-starbucks-meta-musk-2024-11,Endorsement - K,,
Election betting odds tighten as polls show Harris has momentum,Kamala Harris' odds jumped overnight following a new poll that showed she held a surprise lead over Donald Trump in Iowa.,https://www.businessinsider.com/election-betting-markets-kamala-harris-gains-donald-trump-2024-11,2024 election prediction - K,,
"Kamala Harris wants to expand student-loan forgiveness for 10,000 doctors and nurses who agree to work in rural areas",Vice President Kamala Harris is proposing an expansion of student-loan forgiveness programs to recruit healthcare workers to rural areas in the US.,https://www.businessinsider.com/student-loan-forgiveness-kamala-harris-recruit-doctors-nurses-rural-communities-2024-10,VP role,,
"Trump wins Georgia, a key victory in the hotly contested purple state","Both Vice President Kamala Harris and former President Donald Trump campaigned heavily in Georgia, a pivotal state that voted for Joe Biden in 2020.",https://www.businessinsider.com/georgia-presidential-election-results-2024-11,2024 election live updates - T,,
Photos from the watch parties at Mar-a-Lago and Howard University give an inside look into Trump's and Harris' worlds on election night,"At Mar-a-Lago and Palm Beach Convention Center, people celebrated what appeared to be Trump's comfortable lead over Vice President Kamala Harris.",https://www.businessinsider.com/photos-inside-trump-and-harris-watch-parties-mood-election-2024-11,2024 election live updates - T,,
Russia claims it doesn't care who wins the US election. Its state media tells another story.,"Kamala Harris' tendency to burst out laughing has been ridiculed on Russian state TV.  Meanwhile, Donald Trump has been portrayed as confident.",https://www.businessinsider.com/russia-state-media-trump-harris-presidential-us-election-putin-kremlin-2024-10,Endorsement - T,,
"No recession risk regardless of who wins the White House, says Blackstone's Steve Schwarzman",Blackstone CEO Steve Schwarzman said the US economy looks robust and both Donald Trump and Kamala Harris are running on pro-growth policies.,https://www.businessinsider.com/us-economy-recession-outlook-schwarzman-blackstone-trump-harris-election-inflation-2024-10,Candidates’ stances,,
Washington Post reports that owner Jeff Bezos stopped it from endorsing Kamala Harris,"Former Washington Post executive editor Marty Baron called the decision ""a moment of darkness that will leave democracy as a casualty.""",https://www.businessinsider.com/jeff-bezos-owned-washington-post-wont-endorse-presidential-candidate-2024-10,Endorsement - T,,
The business leaders that Kamala Harris could recruit for her Cabinet,"While Mark Cuban and Uber's Tony West may be out of contention, Harris has many powerful ties in the business world.",https://www.businessinsider.com/business-leaders-that-kamala-harris-could-recruit-for-cabinet-2024-10,Cabinet,,
Trump complains to judge that Kamala Harris has used Jack Smith's evidence in ads,Donald Trump is fighting to delay yet another release of more of prosecutors' evidence in the 2020 election interference case against him.,https://www.businessinsider.com/trump-kamala-harris-election-interference-case-jack-smith-ads-02024-10,Trump prosecution,,
Chloë Grace Moretz addresses her sexuality for the first time as she endorses Kamala Harris,"The actor, known for her roles in films such as ""Kick-Ass,"" said she supported legal protections for the LGBTQ+ community ""as a gay woman.""",https://www.businessinsider.com/chloe-grace-moretz-sexuality-gay-woman-supports-kamala-harris-election-2024-11,Endorsement - K,,
"Judith Kent, wife of JPMorgan CEO Jamie Dimon, went door to door in Michigan canvassing voters for Kamala Harris","Kent's husband, Jamie Dimon, hasn't publicly endorsed either presidential candidate this election.",https://www.businessinsider.com/judith-dimon-door-to-door-michigan-canvassing-votes-kamala-harris-2024-11,Endorsement - K,,
Kamala Harris mocks Donald Trump as she joins long list of politicians to cameo on 'Saturday Night Live',"During her cameo, Harris appeared to poke fun at a recent video of Trump struggling to climb into a garbage truck at a campaign event.",https://www.businessinsider.com/kamala-harris-mocks-donald-trump-surprise-saturday-night-live-cameo-2024-11,Kamala campaign ,,
Kamala Harris' new lead in top Iowa poll could bode well for her in some key swing states,"A new Iowa poll shows Harris ahead of Trump by three points, a major shift in a state that has voted red in the past two presidential elections.",https://www.businessinsider.com/harris-trump-iowa-polling-lead-swing-states-2024-11,2024 election prediction - K,,
The blue wall was Kamala Harris' clearest path to the White House. Here's why it faded away.,Vice President Harris sought to bring together the coalition that had elected President Biden. But an array of challenges proved to be insurmountable.,https://www.businessinsider.com/harris-trump-blue-wall-democrats-suburban-voters-unions-2024-11,Kamala campaign ,,
"What we know about Trump, Harris medical records after VP releases doctor's report",Kamala Harris recently released her medical records but Donald Trump has yet to do so.,https://abcnews.go.com/Health/trump-harris-medical-records-after-vp-releases-doctors/story?id=114822811,Kamala campaign ,,
Harris paints Trump as a national threat in testy Fox News interview,VP Kamala Harris blasted Donald Trump in a Fox News interview with Bret Baier.,https://abcnews.go.com/Politics/harris-paints-trump-national-threat-testy-fox-news/story?id=114869202,Kamala campaign ,,
Harris expected to take advantage of Kelly's critical comments of Trump at town hall,Vice President Kamala Harris will answer questions from voters Wednesday night at a CNN town hall.,https://abcnews.go.com/Politics/harris-expected-advantage-kellys-critical-comments-trump-cnn/story?id=115069432,Kamala campaign ,,
Melania Trump defends her husband: 'He is not Hitler',"Donald Trump has falsely claimed that Kamala Harris called him ""Hitler.""",https://abcnews.go.com/Politics/melania-trump-defends-husband-hitler/story?id=115257844,Trump campaign,,
Bernie Sanders blasts Democratic Party following Kamala Harris loss,"Vermont Sen. Bernie Sanders issued a scathing statement on what he called the Democratic Party's ""disastrous"" campaign following Kamala Harris' loss.",https://abcnews.go.com/Politics/bernie-sanders-response-presidential-election/story?id=115582079,2024 election results,,
Could a Trump presidency damage both democracy and the economy? Experts weigh in,"Trump could damage the economy, experts say, if he makes good on threats to prosecute political rivals, including Kamala Harris.",https://abcnews.go.com/Politics/trump-presidency-damage-economy-weakens-democracy-experts/story?id=115142899,Endorsement - K,,
Harris slams House speaker for suggesting GOP would cut federal semiconductor aid,Kamala Harris is criticizing House Speaker Mike Johnson for suggesting Republicans might cut government subsidies for semiconductor manufacturing,https://abcnews.go.com/Business/wireStory/harris-slams-house-speaker-suggesting-gop-cut-federal-115424321,VP role,,
"Trump again questions Harris' racial, ethnic identity in podcast interview",Former President Donald Trump once again falsely questioned Vice President Kamala Harris' racial and ethnic identity during an interview.,https://abcnews.go.com/Politics/trump-questions-harris-racial-ethnic-identity-podcast-interview/story?id=114906094,Trump campaign,,
Harris concedes election but not 'the fight that fueled this campaign',Vice President Kamala Harris addressed the nation on Wednesday after losing the presidential election to former President Donald Trump.,https://abcnews.go.com/Politics/harris-shes-full-resolve-urges-supporters-accept-results/story?id=115558448,2024 election results,,
Harris revives message around democracy as Trump escalates rhetoric. Will it work?,"Kamala Harris shunted Joe Biden's messaging on democracy when she took over as Democrats' nominee, but now she's reviving attacks amid Donald Trump's escalating rhetoric.",https://abcnews.go.com/Politics/harris-revives-message-democracy-trump-escalates-rhetoric-work/story?id=114908724,Kamala campaign ,,
Harris to have moderated conversations with Liz Cheney in 3 battleground states,"Vice President Kamala Harris will do a series of moderated conversations with former Rep. Liz Cheney in the battleground states of Pennsylvania, Michigan and Wisconsin.",https://abcnews.go.com/Politics/harris-moderated-conversations-liz-cheney-3-battleground-states/story?id=114990344,Kamala campaign ,,
College students in swing states could make an impact with registration decisions,Kamala Harris and Donald Trump are working to court young voters -- some of whom may have switched their voter registration to cast ballots in their college towns.,https://abcnews.go.com/Politics/college-students-battleground-states-make-election-impact-registration/story?id=114725305,2024 election prediction - close,,
"Beshear fleshes out difference between Biden, Harris agendas",Andy Beshear offered a contrast between the agendas of President Joe Biden and Kamala Harris after the vice president struggled to paint clear differences.,https://abcnews.go.com/Politics/beshear-fleshes-difference-biden-harris-agendas/story?id=114751516,Kamala campaign,,
The parties' coalitions are changing before Election Day. Nobody knows what's next.,The Democratic and Republican Parties' coalitions are undergoing a seismic change weeks before Vice President Kamala Harris and former President Donald Trump face off.,https://abcnews.go.com/Politics/parties-coalitions-changing-election-day/story?id=114793336,2024 election prediction - close,,
"Harris, Obama to campaign together for 1st time at star-studded Georgia rally",Vice President Kamala Harris will campaign with former President Barack Obama for the first time Thursday night in must-win Georgia at a star-studded rally.,https://abcnews.go.com/Politics/harris-obama-campaign-1st-time-star-studded-georgia/story?id=115107333,Kamala campaign,,
WATCH: Harris tries to woo unhappy Republican voters as Trump doubles down on his base,"ABC News’ Jon Karl breaks down how Vice President Kamala Harris and former President Donald Trump are trying to solidify votes, with just 13 days until the election.",https://abcnews.go.com/GMA/News/video/harris-woo-unhappy-republican-voters-trump-doubles-base-115057589,Kamala campaign,,
Mark Cuban says Trump ‘absolutely’ has ‘fascist tendencies’,"“I do believe Donald Trump poses a threat,” the billionaire entrepreneur backing Kamala Harris told ABC “This Week” co-anchor Jonathan Karl.",https://abcnews.go.com/Politics/mark-cuban-trump-absolutely-fascist-tendencies/story?id=115181894,Endorsement - K,,
Michelle Obama returns to political spotlight for final sprint of 2024 campaign,"Michelle Obama, who has made clear her dislike of partisan politics, is putting her considerable star power behind Kamala Harris and against Donald Trump.",https://abcnews.go.com/Politics/michelle-obama-returns-political-spotlight-final-sprint-2024/story?id=115233546,Endorsement - K,,
"Election fact check: Trump, Harris on transgender issues",What we know about the issues and how former President Donald Trump and Vice President Kamala Harris expect to legislate transgender policies.,https://abcnews.go.com/Politics/election-fact-check-transgender-issues-trump-harris/story?id=115349047,Candidates’ stances,,
"WATCH: Donald Trump wins 2nd term in historic return to White House, ABC News projects","ABC News is projecting former President Donald Trump will win the presidential race, staging a historic comeback to defeat Vice President Kamala Harris.",https://abcnews.go.com/Politics/video/donald-trump-wins-2nd-term-historic-return-white-115556950,2024 election prediction - T,,
Harris maintains polling lead among young voters as both candidates ramp up appeals,Former President Donald Trump and Vice President Kamala Harris have ramped up their courtship of young voters to push their candidacies over the finish line.,https://abcnews.go.com/Politics/harris-maintains-lead-young-voters-candidates-ramp-appeals/story?id=115273335,Kamala campaign,,
"With 2024 race so tight, a reminder how few votes decided the 7 swing states in 2020",All signs point to another close election with Vice President Kamala Harris and former President Donald Trump neck-and-neck in national and battleground state polls.,https://abcnews.go.com/Politics/2024-race-tight-reminder-votes-decided-7-swing/story?id=115398688,2024 election prediction - close,,
WATCH: Billie Eilish urges fans to 'vote for women’s rights' at Georgia concert,"Billie Eilish encouraged fans to ""vote for women’s rights” during her concert in Atlanta on Saturday. The singer previously endorsed Kamala Harris on Instagram in September.",https://abcnews.go.com/Entertainment/video/billie-eilish-urges-fans-vote-womens-rights-georgia-115496300,Endorsement - K,,
"Election Day officially begins as Harris, Trump tie in Dixville Notch midnight vote",Vice President Kamala Harris and former President Donald Trump have tied in the Dixville Notch midnight vote kicking off the official start to 2024's Election Day.,https://abcnews.go.com/Politics/election-day-officially-begins-harris-trump-tie-dixville/story?id=115504033,2024 election live updates - close,,
"80 countries have been led by a woman, but not the US","Despite Vice President Kamala Harris' efforts to shatter glass ceilings and become the first woman to be president in the U.S., the office remains solely male-dominated.",https://abcnews.go.com/Politics/80-countries-led-woman-us/story?id=115651816,Endorsement - K,,
"Harris works to appeal to Black men, a critical group for Democrats","For a second day this week, Vice President Kamala Harris is focusing on a key voting bloc that is a critical base fro the Democratic Party: Black men.",https://abcnews.go.com/Politics/harris-works-appeal-black-men-critical-group-democrats/story?id=114780568,Kamala campaign,,
