Title,Description,URL,Annotation
"No recession risk regardless of who wins the White House, says Blackstone's Steve Schwarzman",Blackstone CEO Steve Schwarzman said the US economy looks robust and both Donald Trump and Kamala Harris are running on pro-growth policies.,https://www.businessinsider.com/us-economy-recession-outlook-schwarzman-blackstone-trump-harris-election-inflation-2024-10,Policies
The business leaders that Kamala Harris could recruit for her Cabinet,"While Mark Cuban and Uber's Tony West may be out of contention, Harris has many powerful ties in the business world.",https://www.businessinsider.com/business-leaders-that-kamala-harris-could-recruit-for-cabinet-2024-10,Policies
"Election fact check: Trump, Harris on transgender issues",What we know about the issues and how former President Donald Trump and Vice President Kamala Harris expect to legislate transgender policies.,https://abcnews.go.com/Politics/election-fact-check-transgender-issues-trump-harris/story?id=115349047,Policies
The view from abroad: Foreign policy in the 2024 US presidential election,The showdown between Vice President Kamala Harris and former President Donald Trump will in many ways be a choice between foreign policy continuity and change.,https://abcnews.go.com/International/view-abroad-foreign-policy-2024-us-presidential-election/story?id=115344152,Policies
What would a Kamala Harris or Donald Trump victory mean for the stock market?,The stock market has soared during the presidential campaign. Will it continue?,https://abcnews.go.com/Business/kamala-harris-donald-trump-victory-stock-market/story?id=115018990,Policies
American voters in London pitch competing visions of US,"More than 4,000 miles from home, small groups of Democratic and Republican voters in the British capital gathered within 2 miles of each other to witness what both sides have framed as one of -- if not the -- most important elections in American history.

The…",https://abcnews.go.com/International/american-voters-london-pitch-competing-visions-us/story?id=115553503,Policies
Who does China’s president want to win the U.S. election?,"As Donald Trump and Vice President Kamala Harris face off in the presidential election, China’s President Xi Jinping has not expressed a preference for either.",https://www.nbcnews.com/news/world/china-us-election-trump-harris-xi-jinping-rcna173770,Policies
Here's where Donald Trump and Kamala Harris stand on guns,Guns have long been a polarizing issue in America — here's where Trump and Harris stand on the issue.,https://www.cbsnews.com/news/trump-harris-guns-2024/,Policies
Donald Trump and Kamala Harris' stances on police,"In the run-up to the 2024 presidential election, both Harris and Trump have been presenting themselves as the tough-on-crime candidate.",https://www.cbsnews.com/news/trump-harris-police-2024/,Policies
Trump and Harris offer split-screen closing messages in dueling Milwaukee rallies,"Donald Trump and Kamala Harris' differing styles of were on full display during dueling rallies Friday night in Milwaukee, the largest city in one of the nation’s most important swing states.",https://www.nbcnews.com/politics/2024-election/trump-harris-offer-split-screen-closing-messages-dueling-milwaukee-ral-rcna178487,Policies
What the Justice Department could look like under a Kamala Harris presidency,Kamala Harris’s team is quietly considering potential nominees for attorney general to lead the Justice Department if she beats Donald Trump in the 2024 election.,https://www.nbcnews.com/politics/2024-election/justice-department-attorney-general-nominee-kamala-harris-president-rcna176171,Policies
There’s one thing Harris and Trump have agreed on. The reason why is wildly depressing.,Former President Donald Trump and Vice President Kamala Harris differ on everything from tariffs to abortion.,https://www.msnbc.com/opinion/msnbc-opinion/trump-harris-crypto-bitcoin-voters-rcna178213,Policies
"Comparing Trump and Harris' views on LGBTQ rights, marriage equality",Former President Donald Trump and Vice President Kamala Harris have starkly different messages and backgrounds on LGBTQ issues.,https://www.cbsnews.com/news/trump-harris-lgbtq-rights-2024/,Policies
How Trump and Harris' stances and policy plans on marijuana legalization compare,Both Vice President Kamala Harris and former President Donald Trump have offered their views on legalizing weed.,https://www.cbsnews.com/news/trump-harris-stances-marijuana-2024/,Policies
