Title,Description,URL,Annotation
Kamala Harris mocks Donald Trump as she joins long list of politicians to cameo on 'Saturday Night Live',"During her cameo, Harris appeared to poke fun at a recent video of Trump struggling to climb into a garbage truck at a campaign event.",https://www.businessinsider.com/kamala-harris-mocks-donald-trump-surprise-saturday-night-live-cameo-2024-11,Campaign
The blue wall was Kamala Harris' clearest path to the White House. Here's why it faded away.,Vice President Harris sought to bring together the coalition that had elected President Biden. But an array of challenges proved to be insurmountable.,https://www.businessinsider.com/harris-trump-blue-wall-democrats-suburban-voters-unions-2024-11,Campaign
"What we know about Trump, Harris medical records after VP releases doctor's report",Kamala Harris recently released her medical records but Donald Trump has yet to do so.,https://abcnews.go.com/Health/trump-harris-medical-records-after-vp-releases-doctors/story?id=114822811,Campaign
Harris paints Trump as a national threat in testy Fox News interview,VP Kamala Harris blasted Donald Trump in a Fox News interview with Bret Baier.,https://abcnews.go.com/Politics/harris-paints-trump-national-threat-testy-fox-news/story?id=114869202,Campaign
Harris expected to take advantage of Kelly's critical comments of Trump at town hall,Vice President Kamala Harris will answer questions from voters Wednesday night at a CNN town hall.,https://abcnews.go.com/Politics/harris-expected-advantage-kellys-critical-comments-trump-cnn/story?id=115069432,Campaign
Harris revives message around democracy as Trump escalates rhetoric. Will it work?,"Kamala Harris shunted Joe Biden's messaging on democracy when she took over as Democrats' nominee, but now she's reviving attacks amid Donald Trump's escalating rhetoric.",https://abcnews.go.com/Politics/harris-revives-message-democracy-trump-escalates-rhetoric-work/story?id=114908724,Campaign
Harris to have moderated conversations with Liz Cheney in 3 battleground states,"Vice President Kamala Harris will do a series of moderated conversations with former Rep. Liz Cheney in the battleground states of Pennsylvania, Michigan and Wisconsin.",https://abcnews.go.com/Politics/harris-moderated-conversations-liz-cheney-3-battleground-states/story?id=114990344,Campaign
"Beshear fleshes out difference between Biden, Harris agendas",Andy Beshear offered a contrast between the agendas of President Joe Biden and Kamala Harris after the vice president struggled to paint clear differences.,https://abcnews.go.com/Politics/beshear-fleshes-difference-biden-harris-agendas/story?id=114751516,Campaign
"Harris, Obama to campaign together for 1st time at star-studded Georgia rally",Vice President Kamala Harris will campaign with former President Barack Obama for the first time Thursday night in must-win Georgia at a star-studded rally.,https://abcnews.go.com/Politics/harris-obama-campaign-1st-time-star-studded-georgia/story?id=115107333,Campaign
WATCH: Harris tries to woo unhappy Republican voters as Trump doubles down on his base,"ABC News’ Jon Karl breaks down how Vice President Kamala Harris and former President Donald Trump are trying to solidify votes, with just 13 days until the election.",https://abcnews.go.com/GMA/News/video/harris-woo-unhappy-republican-voters-trump-doubles-base-115057589,Campaign
Harris maintains polling lead among young voters as both candidates ramp up appeals,Former President Donald Trump and Vice President Kamala Harris have ramped up their courtship of young voters to push their candidacies over the finish line.,https://abcnews.go.com/Politics/harris-maintains-lead-young-voters-candidates-ramp-appeals/story?id=115273335,Campaign
"With 2024 race so tight, a reminder how few votes decided the 7 swing states in 2020",All signs point to another close election with Vice President Kamala Harris and former President Donald Trump neck-and-neck in national and battleground state polls.,https://abcnews.go.com/Politics/2024-race-tight-reminder-votes-decided-7-swing/story?id=115398688,Campaign
"Harris works to appeal to Black men, a critical group for Democrats","For a second day this week, Vice President Kamala Harris is focusing on a key voting bloc that is a critical base fro the Democratic Party: Black men.",https://abcnews.go.com/Politics/harris-works-appeal-black-men-critical-group-democrats/story?id=114780568,Campaign
What is fascism? A look at the term being hurled at Donald Trump,"Former President Donald Trump has been hit with claims that he's a ""fascist"" from his former chief of staff,f John Kelly, and his opponent, Kamala Harris.",https://abcnews.go.com/Politics/fascism-term-hurled-donald-trump/story?id=115101505,Campaign
Half of Americans see Donald Trump as a fascist: POLL,"Half the country sees Donald Trump as a fascist in a new ABC News/Ipsos poll, amplifying concerns recently raised by Kamala Harris and past Trump administration members.",https://abcnews.go.com/Politics/donald-trump-fascist-concerns-poll/story?id=115083795,Campaign
