Title,Description,URL,Annotation
Final polls show Harris and Trump headed for a photo finish,Final polling shows Kamala Harris and Donald Trump virtually tied a day before the election.,https://www.businessinsider.com/kamala-harris-donald-trump-swing-state-polls-photo-finish-2024-11,Election updates
"Harris concedes election, saying she promised Trump a peaceful transfer of power",Vice President Kamala Harris publicly conceded the 2024 election to former President Donald Trump in a Wednesday afternoon speech.,https://www.businessinsider.com/kamala-harris-addresses-nation-following-donald-trump-big-win-election-2024-11,Election updates
Harris' chances are still alive after she won a key vote in Nebraska,"Kamala Harris can still win the White House by sweeping the so-called ""blue wall"" states though she's trailing in some right now.",https://www.businessinsider.com/harris-nebraska-2nd-omaha-results-importance-electoral-college-2024-10,Election updates
Election betting odds tighten as polls show Harris has momentum,Kamala Harris' odds jumped overnight following a new poll that showed she held a surprise lead over Donald Trump in Iowa.,https://www.businessinsider.com/election-betting-markets-kamala-harris-gains-donald-trump-2024-11,Election updates
"Trump wins Georgia, a key victory in the hotly contested purple state","Both Vice President Kamala Harris and former President Donald Trump campaigned heavily in Georgia, a pivotal state that voted for Joe Biden in 2020.",https://www.businessinsider.com/georgia-presidential-election-results-2024-11,Election updates
Photos from the watch parties at Mar-a-Lago and Howard University give an inside look into Trump's and Harris' worlds on election night,"At Mar-a-Lago and Palm Beach Convention Center, people celebrated what appeared to be Trump's comfortable lead over Vice President Kamala Harris.",https://www.businessinsider.com/photos-inside-trump-and-harris-watch-parties-mood-election-2024-11,Election updates
Kamala Harris' new lead in top Iowa poll could bode well for her in some key swing states,"A new Iowa poll shows Harris ahead of Trump by three points, a major shift in a state that has voted red in the past two presidential elections.",https://www.businessinsider.com/harris-trump-iowa-polling-lead-swing-states-2024-11,Election updates
Bernie Sanders blasts Democratic Party following Kamala Harris loss,"Vermont Sen. Bernie Sanders issued a scathing statement on what he called the Democratic Party's ""disastrous"" campaign following Kamala Harris' loss.",https://abcnews.go.com/Politics/bernie-sanders-response-presidential-election/story?id=115582079,Election updates
Harris concedes election but not 'the fight that fueled this campaign',Vice President Kamala Harris addressed the nation on Wednesday after losing the presidential election to former President Donald Trump.,https://abcnews.go.com/Politics/harris-shes-full-resolve-urges-supporters-accept-results/story?id=115558448,Election updates
College students in swing states could make an impact with registration decisions,Kamala Harris and Donald Trump are working to court young voters -- some of whom may have switched their voter registration to cast ballots in their college towns.,https://abcnews.go.com/Politics/college-students-battleground-states-make-election-impact-registration/story?id=114725305,Election updates
The parties' coalitions are changing before Election Day. Nobody knows what's next.,The Democratic and Republican Parties' coalitions are undergoing a seismic change weeks before Vice President Kamala Harris and former President Donald Trump face off.,https://abcnews.go.com/Politics/parties-coalitions-changing-election-day/story?id=114793336,Election updates
"WATCH: Donald Trump wins 2nd term in historic return to White House, ABC News projects","ABC News is projecting former President Donald Trump will win the presidential race, staging a historic comeback to defeat Vice President Kamala Harris.",https://abcnews.go.com/Politics/video/donald-trump-wins-2nd-term-historic-return-white-115556950,Election updates
"Election Day officially begins as Harris, Trump tie in Dixville Notch midnight vote",Vice President Kamala Harris and former President Donald Trump have tied in the Dixville Notch midnight vote kicking off the official start to 2024's Election Day.,https://abcnews.go.com/Politics/election-day-officially-begins-harris-trump-tie-dixville/story?id=115504033,Election updates
